SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
41,mchakragatti- mbpkihs [10G],,7/21/2025 18:33:30,7/22/2025 16:08:32,Link Down,********,Fiber Breakage,5th Shrawan,"0 days, 21 hrs, 35 min",Informed to om ji and Thomash ji,Fiber,0.8993287037,**********
42,msirdibas-sw1,TRUE,7/21/2025 18:36:04,7/22/2025 7:48:14,Switch,Gorkha NTA,Full Solar POP,5th Shrawan,"0 days, 13 hrs, 12 min",,Power,0.5501157407,**********
43,mdaphelake-sw1,TRUE,7/21/2025 18:44:56,7/22/2025 6:21:26,Switch,Far Western Region,Full Solar POP,5th Shrawan,"0 days, 11 hrs, 36 min",,Power,0.4836805556,**********
44,mbharatpur-nea <-> mkawaswoti [10G],,7/21/2025 19:13:31,7/22/2025 13:07:00,Link Down,********,Fiber Issue,5th Shrawan,"0 days, 17 hrs, 53 min",Call made to Hari ji  and Sushil is not received  informed to via viber ,Fiber,0.745474537,**********
45,mbhalamchaur-sw1,,7/21/2025 19:47:23,7/21/2025 20:04:34,Switch,********,Rebooted,5th Shrawan,"0 days, 00 hrs, 17 min",,Power,0.01193287037,Prov3
46,mmidmarsyangdi-dam-sw1,FALSE,7/21/2025 19:43:09,7/21/2025 20:10:46,Switch,Highway PoP,Rebooted,5th Shrawan,"0 days, 00 hrs, 27 min",,Power,0.01917824073,Prov4
47,mitahari-ch <->mlahan [40G],,7/21/2025 17:35:35,7/21/2025 18:57:36,Link Down,********,Fiber Issue,5th Shrawan,"0 days, 01 hrs, 22 min","Link is flapping due to BL team are working, will update shortly.",Fiber,0.05695601852,**********
48,mbrt.xe-0-1-2:To-mbrt-neuro-sw1.xg-0-0-1,,7/21/2025 20:15:47,7/21/2025 21:10:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 00 hrs, 54 min",,Traffic Issue,0.03765046296,**********
49,mkalaiya-te-0/0/0/11:To-madarshanagar-te-0-1-0-3-LAG-BE1,,7/21/2025 20:09:12,7/21/2025 22:15:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 02 hrs, 05 min",,Traffic Issue,0.08736111112,**********
50,mpatan-baitadi-sw1,,7/21/2025 20:31:51,7/22/2025 6:54:01,Switch,********,Rebooted,5th Shrawan,"0 days, 10 hrs, 22 min",,Power,0.4320601852,Prov7
51,mlekhanath-te-0-0-0-15:To-mkusma-LAG-BE13-te-0-0-12,,7/21/2025 20:41:47,7/21/2025 22:01:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 01 hrs, 19 min",,Traffic Issue,0.05501157408,**********
52,mbaglung-te-0-0-26:To-mkusma-te-0-0-13,,7/21/2025 20:41:47,7/21/2025 22:02:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 01 hrs, 20 min",,Traffic Issue,0.05570601852,**********
53,mbrt.xe-0-1-2:To-mbrt-neuro-sw1.xg-0-0-1,,7/21/2025 20:15:47,7/21/2025 21:10:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 00 hrs, 54 min",,Traffic Issue,0.03765046296,**********
54,mkakanidanda-sw1,TRUE,7/21/2025 21:06:31,7/22/2025 10:56:47,Switch,Central Region,Rebooted,5th Shrawan,"0 days, 13 hrs, 50 min",,Power,0.5765740741,Prov3
55,mthada-amrai-sw1,FALSE,7/21/2025 21:06:31,7/22/2025 8:52:24,Switch,Western Region,Fiber Issue,5th Shrawan,"0 days, 11 hrs, 45 min",,Fiber,0.4901967593,Prov5
56,mkerkha-sw1-mgauradha-sw1,,7/21/2025 21:05:00,7/22/2025 15:53:00,Link Down,********,Fiber Issue,5th Shrawan,"0 days, 18 hrs, 48 min",,Fiber,0.7833333333,**********
57,mdamak <-> mduhabi [40G],,7/21/2025 21:29:04,7/22/2025 4:29:00,Link Down,********,Unknown,5th Shrawan,"0 days, 06 hrs, 59 min",,Unknown,0.2916203704,**********
58,mswitchatar-te-0–0-0-0-2:To-mthankot--Via-NEA-Fiber-te-0-0-27,,7/21/2025 21:42:06,7/21/2025 22:30:00,Traffic Congestion,********,Congestion,5th Shrawan,"0 days, 00 hrs, 47 min",,Traffic Issue,0.03326388889,**********
59,mnaamdanda-sw1,TRUE,7/21/2025 22:11:23,7/22/2025 7:53:13,Switch,Central Region,Unknown,5th Shrawan,"0 days, 09 hrs, 41 min",,Unknown,0.4040509259,Prov3
61,mrindanda-sw1,FALSE,7/21/2025 22:16:26,7/22/2025 7:53:11,Switch,Central Region,Rebooted,5th Shrawan,"0 days, 09 hrs, 36 min",,Power,0.4005208333,Prov3
62,mhaleshi-sw1,FALSE,7/21/2025 22:30:37,7/22/2025 5:34:00,Switch,Eastern Region,Rebooted,5th Shrawan,"0 days, 07 hrs, 03 min",,Power,0.2940162037,Prov1
63,mkataridanda-sw1,FALSE,7/21/2025 23:03:13,7/22/2025 5:33:15,Switch,Eastern Region,Rebooted,5th Shrawan,"0 days, 06 hrs, 30 min",,Power,0.2708564815,**********
64,mgalchi - mbalaju [10G] || Link,,7/21/2025 18:39:48,,Link Down,********,,5th Shrawan,"13 days, 22 hrs, 05 min","As per uddap dai, please manage repeater",,13.92068291,**********
1,mlapa-sw1,TRUE,7/22/2025 3:20:44,7/22/2025 11:07:07,Switch,Dhading NTA,Rebooted,6th Shrawan,"0 days, 07 hrs, 46 min",,Power,0.3238773148,Prov3
2,mjumlabazaar-sw1,TRUE,7/22/2025 5:07:58,7/22/2025 6:30:09,Switch,Far Western Region,Unknown,6th Shrawan,"0 days, 01 hrs, 22 min",,Unknown,0.05707175926,Prov6
3,mjamune-sw1,FALSE,7/22/2025 5:28:12,7/22/2025 7:30:23,Switch,Highway PoP,Rebooted,6th Shrawan,"0 days, 02 hrs, 02 min",,Power,0.08484953704,Prov4
4,mchitredanda-lamjung-sw1,,7/22/2025 6:18:46,7/22/2025 7:14:01,Switch,********,Rebooted,6th Shrawan,"0 days, 00 hrs, 55 min",,Power,0.03836805556,Prov5
5,mmaharajgunj <-> mdhapasi [10G],,7/22/2025 6:22:08,7/22/2025 17:27:08,Link Down,********,Fiber Breakage,6th Shrawan,"0 days, 11 hrs, 05 min",1.94 km from Maharajgunj Pop measured ETR 1-2 hr,Fiber,0.4618055556,**********
6,msanoshree-sw1,FALSE,7/22/2025 8:00:29,7/22/2025 9:56:04,Switch,Far Western Region,Fiber Issue,6th Shrawan,"0 days, 01 hrs, 55 min",,Fiber,0.0802662037,Prov5
7,mpanchkhal,FALSE,7/22/2025 8:31:31,7/22/2025 8:44:00,MPLS,Central Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 12 min",,Power,0.008668981485,Prov3
8,mdamak <->mitahari [30G] -BL Fiber,,7/22/2025 8:50:00,7/22/2025 12:22:00,Link Down,********,Fiber Issue,6th Shrawan,"0 days, 03 hrs, 32 min",,Fiber,0.1472222222,**********
9,mchabahil <->msundarijal [10G],,7/22/2025 8:55:00,7/22/2025 12:17:00,Link Down,********,Fiber Breakage,6th Shrawan,"0 days, 03 hrs, 22 min",,Fiber,0.1402777778,**********
10,maarubari-dls-sw1 <-> mjorpati-dls-sw1,,7/22/2025 8:55:20,7/22/2025 12:17:00,Link Down,********,Fiber Breakage,6th Shrawan,"0 days, 03 hrs, 21 min",,Fiber,0.1400462963,**********
11,mjujeneta-sw1,FALSE,7/22/2025 9:02:06,7/22/2025 9:11:19,Switch,Western Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006400462968,Prov5
12,mpanchkhal,FALSE,7/22/2025 9:29:00,7/22/2025 11:23:00,MPLS,Central Region,Battery Issue,6th Shrawan,"0 days, 01 hrs, 54 min",,Power,0.07916666667,Prov3
13,mletang,FALSE,7/22/2025 11:40:00,7/22/2025 14:47:55,MPLS,Eastern Region,Fiber Issue,6th Shrawan,"0 days, 03 hrs, 07 min",,Fiber,0.1304976852,Prov1
14,mkohalpurnmc-sw1,FALSE,7/22/2025 12:25:57,7/23/2025 17:05:51,Switch,Far Western Region,Fiber Issue,6th Shrawan,"1 days, 04 hrs, 39 min",,Fiber,1.194375,Prov5
15,mbhandara <->mmanahari [10G],,7/22/2025 12:26:00,7/22/2025 12:36:56,Link Down,********,Unknown,6th Shrawan,"0 days, 00 hrs, 10 min",,Unknown,0.007592592592,**********
16,msuryabinayak <-> mbanepa,,7/22/2025 12:49:14,7/22/2025 16:59:14,Link Down,********,Fiber Breakage,6th Shrawan,"0 days, 04 hrs, 10 min",Team forwarded for Kamalbinayak host down . ,Fiber,0.1736111111,**********
17,mkamalbinayak-sw1,FALSE,7/22/2025 12:51:27,7/22/2025 15:57:56,Switch,Central Region,Fiber Breakage,6th Shrawan,"0 days, 03 hrs, 06 min",,Fiber,0.1295023148,Prov3
18,mdamak <->mitahari [30G] -BL Fiber,,7/22/2025 13:09:27,7/28/2025 10:00:00,Optical Power,********,Optical Power,6th Shrawan,"5 days, 20 hrs, 50 min","Due to ongoing highway construction activities, we are experiencing frequent optical fiber breakages. As mentioned in your previous communication, the optical power levels are already within threshold. Given the current situation, it is not feasible to perform link optimization at this time, as there is a high risk that the fiber may be damaged again due to continued construction work. Any attempts to optimize the link could result in redundant efforts and potential service disruptions. We appreciate your understanding and cooperation in this matter. Regards,",Fiber,5.8684375,**********
19,mbaitadibazaar,FALSE,7/22/2025 13:13:44,7/22/2025 13:28:00,MPLS,********,Unknown,6th Shrawan,"0 days, 00 hrs, 14 min",,Unknown,0.00990740741,Prov7
20,mdoti-sw1,FALSE,7/22/2025 13:23:18,7/22/2025 14:15:29,Switch,Far Western Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 52 min",,Power,0.03623842593,Prov7
21,mmahadevbesi-sw1,FALSE,7/22/2025 13:29:28,7/22/2025 14:06:29,Switch,Highway PoP,Unknown,6th Shrawan,"0 days, 00 hrs, 37 min",,Unknown,0.02570601852,Prov3
22,mbhaver-sw1,FALSE,7/22/2025 14:00:28,7/22/2025 14:02:15,Switch,Makawanpur NTA,Unknown,6th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.001238425924,Prov3
23,mdamak <->mitahari [30G] -BL Fiber,,7/22/2025 14:11:28,7/22/2025 16:45:38,Link Down,********,Unknown,6th Shrawan,"0 days, 02 hrs, 34 min",,Unknown,0.1070601852,**********
24,mharkatedanda-sw1,FALSE,7/22/2025 14:25:01,7/22/2025 15:00:37,Switch,Eastern Region,Unknown,6th Shrawan,"0 days, 00 hrs, 35 min",,Unknown,0.02472222222,**********
25,mbutwal-golpark-sw1,FALSE,7/22/2025 14:10:56,7/22/2025 14:53:06,Switch,Western Region,Unknown,6th Shrawan,"0 days, 00 hrs, 42 min",,Unknown,0.02928240741,Prov5
26,mkawaswoti <-> mbharatpur-nea [10G],,7/22/2025 14:35:56,7/23/2025 18:02:00,CRC,********,CRC Issue,6th Shrawan,"1 days, 03 hrs, 26 min",Informed to Harihar Jee again via call.,Fiber,1.143101852,**********
27,mmahadevbesi-sw1,FALSE,7/22/2025 14:41:29,7/22/2025 16:01:29,Switch,Highway PoP,Unknown,6th Shrawan,"0 days, 01 hrs, 20 min",,Unknown,0.05555555555,Prov3
28,mbhimad-sw1,FALSE,7/22/2025 14:44:29,7/22/2025 15:13:20,Switch,Western Region,Unknown,6th Shrawan,"0 days, 00 hrs, 28 min",,Unknown,0.02003472223,Prov4
29,mtikapur-dls-sw1 <-> mlamki,,7/22/2025 14:49:00,7/23/2025 10:17:00,CRC,********,CRC Issue,6th Shrawan,"0 days, 19 hrs, 28 min",As per ram ji issue will be looked on tomorrow as team were busy in other tasks today,Fiber,0.8111111111,**********
30,mgaddachowki-sw1,FALSE,7/22/2025 15:01:28,7/22/2025 15:25:28,Switch,Far Western Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 24 min",,Power,0.01666666667,Prov7
31,mbhajani-sw1,FALSE,7/22/2025 15:02:31,7/22/2025 19:16:53,Switch,Far Western Region,CT Line Issue,6th Shrawan,"0 days, 04 hrs, 14 min","As per Hemraj jee, there is no ct-line so host got affected as there is battery issue. Host will be reachable after resuming ct-line.",Power,0.1766435185,Prov7
32,msardi-sw1,FALSE,7/22/2025 15:17:31,7/22/2025 15:26:06,Switch,Western Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 08 min",,Power,0.005960648152,Prov5
33,mdurgaphat-sw1,FALSE,7/22/2025 15:24:07,7/22/2025 16:16:17,Switch,Western Region,Fiber Breakage,6th Shrawan,"0 days, 00 hrs, 52 min",,Fiber,0.03622685185,Prov5
34,mkerkha-sw1,FALSE,7/22/2025 15:30:42,7/22/2025 15:52:53,Switch,Eastern Region,Unknown,6th Shrawan,"0 days, 00 hrs, 22 min",,Unknown,0.01540509259,Prov1
35,mdamak <-> mduhabi [20G],,7/22/2025 15:50:42,7/24/2025 14:29:28,CRC,********,CRC Issue,6th Shrawan,"1 days, 22 hrs, 38 min",As per Bijay ji Team will look into the issue tomorrow.,Fiber,1.943587963,**********
36,mbelbari - mpathari [10G] || Link,,7/22/2025 14:44:47,7/24/2025 14:17:46,Link Down,********,Optical Power,6th Shrawan,"1 days, 23 hrs, 32 min","As per Om ji, Task is halted for today due to team has been forwarded for Damak-kerkha Link maintain. team will look into the issue tomorrow",Fiber,1.981238426,**********
37,mdiktel <->mbhojpur [10G] -TM fiber,,7/22/2025 16:55:03,7/22/2025 17:02:11,Link Down,********,Unknown,6th Shrawan,"0 days, 00 hrs, 07 min",,Unknown,0.004953703705,**********
38,mbhimad-sw1,FALSE,7/22/2025 16:54:03,7/22/2025 17:38:55,Switch,Western Region,Unknown,6th Shrawan,"0 days, 00 hrs, 44 min",,Unknown,0.03115740741,Prov4
39,mfaparbari-sw1,FALSE,7/22/2025 17:10:49,7/22/2025 18:55:14,Switch,Central Region,Rebooted,6th Shrawan,"0 days, 01 hrs, 44 min",,Power,0.07251157408,**********
40,msindhuli-bhirgaun-sw1,FALSE,7/22/2025 17:13:11,7/22/2025 17:33:14,Switch,Central Region,Routed,6th Shrawan,"0 days, 00 hrs, 20 min",,Fiber,0.01392361111,**********
41,mjamune-sw1,FALSE,7/22/2025 17:40:23,7/22/2025 18:02:34,Switch,Highway PoP,Rebooted,6th Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01540509259,Prov4
42,mdaphelake-sw1,TRUE,7/22/2025 18:18:49,7/23/2025 7:07:56,Switch,Far Western Region,Full Solar POP,6th Shrawan,"0 days, 12 hrs, 49 min",,Power,0.5341087963,**********
43,mgongabu - mbal [10G],,7/22/2025 18:22:55,7/23/2025 13:08:56,Link Down,********,Fiber Breakage,6th Shrawan,"0 days, 18 hrs, 46 min",Its ack we will plan for this tomorrow as all team are already off duty,Fiber,0.7819560185,**********
44,msirdibas-sw1,TRUE,7/22/2025 18:48:14,7/23/2025 7:20:25,Switch,Gorkha NTA,Full Solar POP,6th Shrawan,"0 days, 12 hrs, 32 min",,Power,0.522349537,**********
45,msindhulibazaar-sw1-msindhuli-bhirgaun-sw1,,7/22/2025 18:33:36,7/24/2025 13:27:06,Link Down,********,POE device Damage,6th Shrawan,"1 days, 18 hrs, 53 min","As per local support Ram ji (9823376257), he will look into this issue after an hour. we will update as soon as he reaches POP end.",Device,1.787152778,**********
46,mkerkha-sw1-mgauradha-sw1,,7/21/2025 21:05:00,7/26/2025 19:55:00,Optical Power,********,Optical Power,6th Shrawan,"4 days, 22 hrs, 50 min","As per Bijay ji ,optimization not possible for now as still poles need to be uninstall there . So , for optimization we need to pull fiber and maintain losses after complete poles get install over there. Added it will take 1 month to complete the pole installation . ",Fiber,4.951388889,**********
47,mbhimad-sw1,FALSE,7/22/2025 19:08:55,7/23/2025 13:04:00,Switch,Western Region,Fiber Losses,6th Shrawan,"0 days, 17 hrs, 55 min",Informed to anmol ji as per him team will look into the issue tomorrow as all team are off duty,Fiber,0.7465856482,Prov4
48,mhaleshi-sw1,FALSE,7/22/2025 20:00:09,7/23/2025 5:39:42,Switch,Eastern Region,Rebooted,6th Shrawan,"0 days, 09 hrs, 39 min",,Power,0.4024652778,Prov1
49,mrampur-pokhara-sw1,FALSE,7/22/2025 20:10:55,7/22/2025 21:39:43,Switch,Western Region,Unknown,6th Shrawan,"0 days, 01 hrs, 28 min",,Unknown,0.06166666667,Prov4
50,mwaling-dls-sw1,FALSE,7/22/2025 20:28:55,7/22/2025 20:33:21,Switch,********,Rebooted,6th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.003078703703,Prov4
51,mpurtighat-sw1,FALSE,7/22/2025 20:37:50,7/23/2025 8:33:25,Switch,Western Region,Rebooted,6th Shrawan,"0 days, 11 hrs, 55 min",,Power,0.4969328704,Prov4
52,mbal-xe-5-2-0:To-mgongabu-xe-0-2-0-LAG-ae19-Syuchatar-ADSS,,7/22/2025 20:03:28,7/22/2025 22:30:00,Traffic Congestion,********,Congestion,6th Shrawan,"0 days, 02 hrs, 26 min",,Traffic Issue,0.1017592593,**********
53,mkataridanda-sw1,FALSE,7/22/2025 21:23:14,7/23/2025 5:39:42,Switch,Eastern Region,Rebooted,6th Shrawan,"0 days, 08 hrs, 16 min",,Power,0.3447685185,**********
54,mfaparbari-sw1,FALSE,7/22/2025 21:22:59,7/23/2025 7:15:09,Switch,Central Region,Unknown,6th Shrawan,"0 days, 09 hrs, 52 min",,Unknown,0.4112268519,**********
55,mburtibang-sw1,FALSE,7/22/2025 22:30:00,7/22/2025 22:37:00,Switch,Western Region,Rebooted,6th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.004861111112,Prov5
56,mmahadevbesi-sw1,FALSE,7/22/2025 22:49:00,7/23/2025 17:51:30,Switch,Highway PoP,Unknown,6th Shrawan,"0 days, 19 hrs, 02 min",,Unknown,0.7934027778,Prov3
57,msamshergunj-sw1,,7/22/2025 22:27:25,7/23/2025 15:09:41,Switch,********,Unknown,6th Shrawan,"0 days, 16 hrs, 42 min",,Unknown,0.6960185185,Prov5
1,mpatan-baitadi-sw1,,7/23/2025 0:14:01,7/23/2025 6:56:12,Switch,********,Rebooted,7th Shrawan,"0 days, 06 hrs, 42 min",,Power,0.2792939815,Prov7
2,mranjha-sw1,FALSE,7/23/2025 0:29:00,7/23/2025 0:33:00,Switch,Far Western Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.00277777778,Prov5
3,mletang,FALSE,7/23/2025 0:56:00,7/23/2025 1:09:00,MPLS,Eastern Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 13 min",,Power,0.009027777778,Prov1
4,mdhalkebar - mlahan [100G],,7/23/2025 0:53:00,7/23/2025 7:54:41,Link Flap,********,Link Flap,7th Shrawan,"0 days, 07 hrs, 01 min",,Link Issue,0.2928356481,**********
5,mkhawadanda-sw1,FALSE,7/23/2025 0:53:32,7/23/2025 7:54:41,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 07 hrs, 01 min",,Power,0.2924652778,Prov3
6,mdandagaun-sw1,FALSE,7/23/2025 0:55:32,7/23/2025 9:26:42,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 08 hrs, 31 min",,Power,0.3549768518,Prov3
7,mjamune-sw1,FALSE,7/23/2025 1:02:35,7/23/2025 11:54:55,Switch,Highway PoP,Unknown,7th Shrawan,"0 days, 10 hrs, 52 min",,Unknown,0.4530092593,Prov4
8,mletang,FALSE,7/23/2025 1:47:00,7/23/2025 3:26:00,MPLS,Eastern Region,Rebooted,7th Shrawan,"0 days, 01 hrs, 39 min",,Power,0.06875,Prov1
9,mkakanidanda-sw1,TRUE,7/23/2025 1:26:47,7/23/2025 9:06:32,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 07 hrs, 39 min",,Power,0.3192708333,Prov3
10,mbhojpur - mhille [TM-Fiber][10G],,7/23/2025 2:05:00,7/23/2025 17:22:55,Link Down,********,Techmind issue,7th Shrawan,"0 days, 15 hrs, 17 min","Team is still on field as there need to change around 300M fiber. ETR has not been provided by team, we will update once we get any further update.",Fiber,0.6374421296,**********
11,msardi-sw1,FALSE,7/23/2025 2:21:00,7/23/2025 2:31:22,Switch,Western Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 10 min",,Power,0.007199074076,Prov5
12,mdhading-wireless-sw1,FALSE,7/23/2025 2:42:00,7/23/2025 2:45:00,Switch,Highway PoP,Rebooted,7th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov3
13,mrindanda-sw1,FALSE,7/23/2025 3:55:15,7/23/2025 8:14:11,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 04 hrs, 18 min",,Power,0.1798148148,Prov3
14,mjujeneta-sw1,FALSE,7/23/2025 5:11:00,7/23/2025 5:13:00,Switch,Western Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888893,Prov5
15,mbhajani-sw1,FALSE,7/23/2025 5:26:53,7/23/2025 7:09:05,Switch,Far Western Region,CT Line Issue/Backup Drained,7th Shrawan,"0 days, 01 hrs, 42 min",,Power,0.07097222222,Prov7
16,mkerkha-sw1 - mbaigundhara-sw1,,7/23/2025 5:22:00,7/23/2025 5:45:00,Link Flap,********,Unknown,7th Shrawan,"0 days, 00 hrs, 23 min",,Unknown,0.01597222222,**********
17,mchitlang-sw1,FALSE,7/23/2025 6:16:58,7/24/2025 12:59:11,Switch,Makawanpur NTA,Rebooted,7th Shrawan,"1 days, 06 hrs, 42 min",Tomorrow Ram ji is going to verify this issue and update us accordingly.,Power,1.27931713,Prov3
18,mdandagaun-sw1,FALSE,7/23/2025 6:01:43,7/23/2025 9:26:42,Switch,Central Region,Unknown,7th Shrawan,"0 days, 03 hrs, 24 min",,Unknown,0.142349537,Prov3
19,mduleguada <->mdamauli [10G],,7/23/2025 7:14:24,7/23/2025 11:44:24,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 04 hrs, 30 min",,Fiber,0.1875,**********
20,mchitredanda-lamjung-sw1,,7/23/2025 6:37:58,7/23/2025 7:44:01,Switch,********,Rebooted,7th Shrawan,"0 days, 01 hrs, 06 min",,Power,0.04586805555,Prov5
21,Kamalbinayak - radheradhe,,7/23/2025 7:47:00,7/23/2025 23:23:00,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 15 hrs, 36 min",link is up and optical is fine. We will test link at night and update accordingly.,Fiber,0.65,**********
22,mbalaju <->mmaharajgunj [100G],,7/23/2025 8:06:00,7/23/2025 8:28:00,Link Down,********,Unknown,7th Shrawan,"0 days, 00 hrs, 22 min",,Unknown,0.01527777778,**********
23,mpulchowk-mtalchikhel [100G],,7/23/2025 8:23:00,7/23/2025 8:28:00,Link Flap,********,Unknown,7th Shrawan,"0 days, 00 hrs, 05 min",,Unknown,0.003472222219,**********
24,mletang,FALSE,7/23/2025 9:27:50,7/23/2025 9:35:00,MPLS,Eastern Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.004976851851,Prov1
25,mdudhauli-sw1,FALSE,7/23/2025 10:11:53,7/23/2025 10:44:04,Switch,Eastern Region,Unknown,7th Shrawan,"0 days, 00 hrs, 32 min",,Unknown,0.02234953704,Prov1
26,mbaniyani-sw1,FALSE,7/23/2025 10:24:44,7/23/2025 16:43:02,Switch,Eastern Region,Unknown,7th Shrawan,"0 days, 06 hrs, 18 min",,Unknown,0.2627083333,**********
27,mpathari,FALSE,7/23/2025 12:15:00,7/23/2025 12:27:00,MPLS,Eastern Region,Unknown,7th Shrawan,"0 days, 00 hrs, 12 min",,Unknown,0.008333333339,Prov1
28,mdamak-sw1,FALSE,7/23/2025 12:21:18,7/23/2025 12:26:22,Switch,Eastern Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003518518519,Prov1
29,mhaleshi-sw1,FALSE,7/23/2025 12:23:39,7/23/2025 12:39:14,Switch,Eastern Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01082175926,Prov1
30,mkerkha-sw1,FALSE,7/23/2025 12:22:53,7/23/2025 12:48:00,Switch,Eastern Region,Routed,7th Shrawan,"0 days, 00 hrs, 25 min",,Fiber,0.01744212963,Prov1
31,mbhajani-sw1,FALSE,7/23/2025 12:39:09,7/23/2025 13:47:00,Switch,Far Western Region,Rebooted,7th Shrawan,"0 days, 01 hrs, 07 min",,Power,0.04711805555,Prov7
32,mchapagun <-> mtalchikhel,,7/23/2025 13:20:06,7/23/2025 17:27:28,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 04 hrs, 07 min",1.557km from pop talchikhel measured etr 1-2 hr,Fiber,0.1717824074,**********
33,mchabahil <-> mbouddha-sw1,,7/23/2025 13:22:19,7/23/2025 17:40:09,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 04 hrs, 17 min",Informed to Jorpati team,Fiber,0.1790509259,**********
34,mgankhu-sw1,TRUE,7/23/2025 13:25:50,7/23/2025 13:49:00,Switch,Gorkha NTA,Unknown,7th Shrawan,"0 days, 00 hrs, 23 min",,Unknown,0.01608796296,**********
35,mjamune-sw1,FALSE,7/23/2025 13:31:31,7/23/2025 13:47:00,Switch,Highway PoP,Unknown,7th Shrawan,"0 days, 00 hrs, 15 min",,Unknown,0.01075231482,Prov4
36,mbaitadibazaar,FALSE,7/23/2025 13:32:17,7/23/2025 15:02:15,MPLS,********,Rebooted,7th Shrawan,"0 days, 01 hrs, 29 min",,Power,0.06247685185,Prov7
37,mletang,FALSE,7/23/2025 14:12:23,7/23/2025 14:32:58,MPLS,Eastern Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 20 min",,Power,0.01429398148,Prov1
38,msardi-sw1,FALSE,7/23/2025 14:17:23,7/23/2025 14:27:57,Switch,Western Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 10 min",,Power,0.007337962961,Prov5
39,mjamune-sw1,FALSE,7/23/2025 14:03:42,7/23/2025 14:45:53,Switch,Highway PoP,CT Line Issue,7th Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02929398148,Prov4
40,et-1/0/2 Connected-to-Airtel-Raxaul#et-1-1-2-via-Adarsanagar-ADSS at-mbirgunj-nea,,7/23/2025 14:22:42,7/23/2025 19:11:15,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 04 hrs, 48 min",As per Kundan je issue lies at our side.,Fiber,0.2003819444,**********
41,xe-3/0/9 Connected-to-PSS32-BRJ-01#1-10-C6-for-IPLC-LAG-ae7 at-mbirgunj-nea,,7/23/2025 14:22:42,7/23/2025 19:11:15,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 04 hrs, 48 min",We have informed to Kundan-ji.,Fiber,0.2003819444,**********
42,mbirgunj-nea - Hetauda Broadlink [30G],,7/23/2025 14:22:42,7/23/2025 17:52:00,Link Down,********,Broadlink issue,7th Shrawan,"0 days, 03 hrs, 29 min",,Fiber,0.1453472222,**********
43,mbaniyani-sw1,FALSE,7/23/2025 14:22:42,7/23/2025 17:33:34,Optical Power,Eastern Region,Unknown,7th Shrawan,"0 days, 03 hrs, 10 min","As per Chiran Ji, maximum optical power optimized. Team is currently busy with another link maintenance. Team will do the needful tomorrow once for more optimization.",Unknown,0.1325462963,**********
44,mbal <-> mkamaladi [10G],,7/23/2025 16:17:04,7/23/2025 17:27:04,Link Down,********,Fiber Breakage,7th Shrawan,"0 days, 01 hrs, 10 min","Baluwatar team already been assigned for the task, as per team there is breakage at the distance of 1402m from pop.",Fiber,0.04861111111,**********
45,mmalekhu - mkurintar-dls-sw1 [10G],,7/23/2025 16:40:29,7/23/2025 16:45:29,Link Down,********,Unknown,7th Shrawan,"0 days, 00 hrs, 05 min",,Unknown,0.003472222226,**********
